Mobility,Resilience,Recovery,pve,pvp
30,2,2,1.000000,1.000000
29,2,2,0.964286,0.964286
28,2,2,0.928571,0.928571
27,2,2,0.892857,0.892857
26,2,2,0.857143,0.857143
25,2,2,0.821429,0.821429
24,2,2,0.785714,0.785714
23,2,2,0.750000,0.750000
22,2,2,0.714286,0.714286
21,2,2,0.678571,0.678571
20,2,2,0.642857,0.642857
19,2,2,0.607143,0.607143
18,2,2,0.571429,0.571429
17,2,2,0.535714,0.535714
16,2,2,0.500000,0.500000
15,2,2,0.464286,0.464286
14,2,2,0.428571,0.428571
13,2,2,0.392857,0.392857
12,2,2,0.357143,0.357143
11,2,2,0.321429,0.321429
10,2,2,0.285714,0.285714
9,2,2,0.250000,0.250000
8,2,2,0.214286,0.214286
7,2,2,0.178571,0.178571
6,2,2,0.142857,0.142857
5,2,2,0.107143,0.107143
4,2,2,0.071429,0.071429
3,2,2,0.035714,0.035714
2,2,2,0.000000,0.000000
2,30,2,1.000000,0.250000
2,29,2,0.964286,0.241071
2,28,2,0.928571,0.232143
2,27,2,0.892857,0.223214
2,26,2,0.857143,0.214286
2,25,2,0.821429,0.205357
2,24,2,0.785714,0.196429
2,23,2,0.750000,0.187500
2,22,2,0.714286,0.178571
2,21,2,0.678571,0.169643
2,20,2,0.642857,0.160714
2,19,2,0.607143,0.151786
2,18,2,0.571429,0.142857
2,17,2,0.535714,0.133929
2,16,2,0.500000,0.125000
2,15,2,0.464286,0.116071
2,14,2,0.428571,0.107143
2,13,2,0.392857,0.098214
2,12,2,0.357143,0.089286
2,11,2,0.321429,0.080357
2,10,2,0.285714,0.071429
2,9,2,0.250000,0.062500
2,8,2,0.214286,0.053571
2,7,2,0.178571,0.044643
2,6,2,0.142857,0.035714
2,5,2,0.107143,0.026786
2,4,2,0.071429,0.017857
2,3,2,0.035714,0.008929
2,2,2,0.000000,0.000000
2,2,30,0.250000,1.000000
2,2,29,0.241071,0.964286
2,2,28,0.232143,0.928571
2,2,27,0.223214,0.892857
2,2,26,0.214286,0.857143
2,2,25,0.205357,0.821429
2,2,24,0.196429,0.785714
2,2,23,0.187500,0.750000
2,2,22,0.178571,0.714286
2,2,21,0.169643,0.678571
2,2,20,0.160714,0.642857
2,2,19,0.151786,0.607143
2,2,18,0.142857,0.571429
2,2,17,0.133929,0.535714
2,2,16,0.125000,0.500000
2,2,15,0.116071,0.464286
2,2,14,0.107143,0.428571
2,2,13,0.098214,0.392857
2,2,12,0.089286,0.357143
2,2,11,0.080357,0.321429
2,2,10,0.071429,0.285714
2,2,9,0.062500,0.250000
2,2,8,0.053571,0.214286
2,2,7,0.044643,0.178571
2,2,6,0.035714,0.142857
2,2,5,0.026786,0.107143
2,2,4,0.017857,0.071429
2,2,3,0.008929,0.035714
2,2,2,0.000000,0.000000
30,2,2,1.000000,1.000000
29,3,2,1.000000,0.973214
28,4,2,1.000000,0.946429
27,5,2,1.000000,0.919643
26,6,2,1.000000,0.892857
25,7,2,1.000000,0.866071
24,8,2,1.000000,0.839286
23,9,2,1.000000,0.812500
22,10,2,1.000000,0.785714
21,11,2,1.000000,0.758929
20,12,2,1.000000,0.732143
19,13,2,1.000000,0.705357
18,14,2,1.000000,0.678571
17,15,2,1.000000,0.651786
16,16,2,1.000000,0.625000
15,17,2,1.000000,0.598214
14,18,2,1.000000,0.571429
13,19,2,1.000000,0.544643
12,20,2,1.000000,0.517857
11,21,2,1.000000,0.491071
10,22,2,1.000000,0.464286
9,23,2,1.000000,0.437500
8,24,2,1.000000,0.410714
7,25,2,1.000000,0.383929
6,26,2,1.000000,0.357143
5,27,2,1.000000,0.330357
4,28,2,1.000000,0.303571
3,29,2,1.000000,0.276786
2,30,2,1.000000,0.250000
2,30,2,1.000000,0.250000
2,29,3,0.973214,0.276786
2,28,4,0.946429,0.303571
2,27,5,0.919643,0.330357
2,26,6,0.892857,0.357143
2,25,7,0.866071,0.383929
2,24,8,0.839286,0.410714
2,23,9,0.812500,0.437500
2,22,10,0.785714,0.464286
2,21,11,0.758929,0.491071
2,20,12,0.732143,0.517857
2,19,13,0.705357,0.544643
2,18,14,0.678571,0.571429
2,17,15,0.651786,0.598214
2,16,16,0.625000,0.625000
2,15,17,0.598214,0.651786
2,14,18,0.571429,0.678571
2,13,19,0.544643,0.705357
2,12,20,0.517857,0.732143
2,11,21,0.491071,0.758929
2,10,22,0.464286,0.785714
2,9,23,0.437500,0.812500
2,8,24,0.410714,0.839286
2,7,25,0.383929,0.866071
2,6,26,0.357143,0.892857
2,5,27,0.330357,0.919643
2,4,28,0.303571,0.946429
2,3,29,0.276786,0.973214
2,2,30,0.250000,1.000000
2,2,30,0.250000,1.000000
3,2,29,0.276786,1.000000
4,2,28,0.303571,1.000000
5,2,27,0.330357,1.000000
6,2,26,0.357143,1.000000
7,2,25,0.383929,1.000000
8,2,24,0.410714,1.000000
9,2,23,0.437500,1.000000
10,2,22,0.464286,1.000000
11,2,21,0.491071,1.000000
12,2,20,0.517857,1.000000
13,2,19,0.544643,1.000000
14,2,18,0.571429,1.000000
15,2,17,0.598214,1.000000
16,2,16,0.625000,1.000000
17,2,15,0.651786,1.000000
18,2,14,0.678571,1.000000
19,2,13,0.705357,1.000000
20,2,12,0.732143,1.000000
21,2,11,0.758929,1.000000
22,2,10,0.785714,1.000000
23,2,9,0.812500,1.000000
24,2,8,0.839286,1.000000
25,2,7,0.866071,1.000000
26,2,6,0.892857,1.000000
27,2,5,0.919643,1.000000
28,2,4,0.946429,1.000000
29,2,3,0.973214,1.000000
30,2,2,1.000000,1.000000
23,9,2,1.000000,0.812500
23,8,3,0.973214,0.839286
23,7,4,0.946429,0.866071
23,6,5,0.919643,0.892857
23,5,6,0.892857,0.919643
23,4,7,0.866071,0.946429
23,3,8,0.839286,0.973214
