Mobility,Resilience,Recovery,pve,pvp
30,2,2,0.000000,0.000000
29,2,2,0.000000,0.000000
28,2,2,0.000000,0.000000
27,2,2,0.000000,0.000000
26,2,2,0.000000,0.000000
25,2,2,0.000000,0.000000
24,2,2,0.000000,0.000000
23,2,2,0.000000,0.000000
22,2,2,0.000000,0.000000
21,2,2,0.000000,0.000000
20,2,2,0.000000,0.000000
19,2,2,0.000000,0.000000
18,2,2,0.000000,0.000000
17,2,2,0.000000,0.000000
16,2,2,0.000000,0.000000
15,2,2,0.000000,0.000000
14,2,2,0.000000,0.000000
13,2,2,0.000000,0.000000
12,2,2,0.000000,0.000000
11,2,2,0.000000,0.000000
10,2,2,0.000000,0.000000
9,2,2,0.000000,0.000000
8,2,2,0.000000,0.000000
7,2,2,0.000000,0.000000
6,2,2,0.000000,0.000000
5,2,2,0.000000,0.000000
4,2,2,0.000000,0.000000
3,2,2,0.000000,0.000000
2,2,2,0.000000,0.000000
2,30,2,1.000000,0.750000
2,29,2,0.964286,0.723214
2,28,2,0.928571,0.696429
2,27,2,0.892857,0.669643
2,26,2,0.857143,0.642857
2,25,2,0.821429,0.616071
2,24,2,0.785714,0.589286
2,23,2,0.750000,0.562500
2,22,2,0.714286,0.535714
2,21,2,0.678571,0.508929
2,20,2,0.642857,0.482143
2,19,2,0.607143,0.455357
2,18,2,0.571429,0.428571
2,17,2,0.535714,0.401786
2,16,2,0.500000,0.375000
2,15,2,0.464286,0.348214
2,14,2,0.428571,0.321429
2,13,2,0.392857,0.294643
2,12,2,0.357143,0.267857
2,11,2,0.321429,0.241071
2,10,2,0.285714,0.214286
2,9,2,0.250000,0.187500
2,8,2,0.214286,0.160714
2,7,2,0.178571,0.133929
2,6,2,0.142857,0.107143
2,5,2,0.107143,0.080357
2,4,2,0.071429,0.053571
2,3,2,0.035714,0.026786
2,2,2,0.000000,0.000000
2,2,30,0.750000,1.000000
2,2,29,0.723214,0.964286
2,2,28,0.696429,0.928571
2,2,27,0.669643,0.892857
2,2,26,0.642857,0.857143
2,2,25,0.616071,0.821429
2,2,24,0.589286,0.785714
2,2,23,0.562500,0.750000
2,2,22,0.535714,0.714286
2,2,21,0.508929,0.678571
2,2,20,0.482143,0.642857
2,2,19,0.455357,0.607143
2,2,18,0.428571,0.571429
2,2,17,0.401786,0.535714
2,2,16,0.375000,0.500000
2,2,15,0.348214,0.464286
2,2,14,0.321429,0.428571
2,2,13,0.294643,0.392857
2,2,12,0.267857,0.357143
2,2,11,0.241071,0.321429
2,2,10,0.214286,0.285714
2,2,9,0.187500,0.250000
2,2,8,0.160714,0.214286
2,2,7,0.133929,0.178571
2,2,6,0.107143,0.142857
2,2,5,0.080357,0.107143
2,2,4,0.053571,0.071429
2,2,3,0.026786,0.035714
2,2,2,0.000000,0.000000
30,2,2,0.000000,0.000000
29,3,2,0.035714,0.026786
28,4,2,0.071429,0.053571
27,5,2,0.107143,0.080357
26,6,2,0.142857,0.107143
25,7,2,0.178571,0.133929
24,8,2,0.214286,0.160714
